id,name,artist,key,mode,tempo,time_signature,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,analysis_url,preview_url
2P43WROXRRBFqSKd2aSc0o,"Goodbye, Goodbye",µ-Ziq,7,1,129.882,4,247373,0.54,0.44,-10.093,0.0368,0.14,0.886,0.167,0.122,https://api.spotify.com/v1/audio-analysis/2P43WROXRRBFqSKd2aSc0o,
5z8uWv4R927ntK6jlke9yj,Dael,Autechre,9,0,89.978,4,399960,0.635,0.946,-9.251,0.0798,0.0355,0.881,0.17,0.406,https://api.spotify.com/v1/audio-analysis/5z8uWv4R927ntK6jlke9yj,
1iaLD61QBVvPiuYAS5fWzp,Tool 1 - Mix Cut,Zeta Reticula,11,0,127.072,4,79320,0.58,0.95,-8.288,0.0524,0.00186,0.804,0.412,0.52,https://api.spotify.com/v1/audio-analysis/1iaLD61QBVvPiuYAS5fWzp,https://p.scdn.co/mp3-preview/5cec1a1378b4557c359c9bc861018d502449fe26?cid=d15799fa66d145678638eaacc0278873
4SnH0V1cnEPUqMSzgDlxKb,Heaven's Gonna Burn Your Eyes,Thievery Corporation,9,1,152.411,4,250360,0.516,0.337,-9.812,0.0286,0.635,0.521,0.0637,0.323,https://api.spotify.com/v1/audio-analysis/4SnH0V1cnEPUqMSzgDlxKb,
4HlO5iUbxLk6j1v04KBi1z,Bow Ecco,Oneohtrix Point Never,6,1,88.15,3,131209,0.272,0.667,-7.523,0.0429,0.882,0.412,0.293,0.135,https://api.spotify.com/v1/audio-analysis/4HlO5iUbxLk6j1v04KBi1z,
6RBV20Uk0tYnd3XwFFxWY9,Lost But Never Alone,Oneohtrix Point Never,3,1,89.966,4,258615,0.448,0.824,-7.678,0.0625,0.241,0.257,0.385,0.354,https://api.spotify.com/v1/audio-analysis/6RBV20Uk0tYnd3XwFFxWY9,
31Ocb5xOyTkjIyv7FdBF05,Long Road Home,Oneohtrix Point Never,1,0,76.689,4,212316,0.469,0.592,-6.934,0.0427,0.331,0.0539,0.11,0.377,https://api.spotify.com/v1/audio-analysis/31Ocb5xOyTkjIyv7FdBF05,
0GNOV2aEFqS3qOXfQEhEuq,Babylon,Oneohtrix Point Never_Alex G,3,1,126.883,4,220240,0.567,0.186,-14.696,0.0297,0.925,0.872,0.106,0.178,https://api.spotify.com/v1/audio-analysis/0GNOV2aEFqS3qOXfQEhEuq,
1bdLWU4nWQDxfKdmdBAxUl,Long Road Home,Caroline Polachek_Oneohtrix Point Never,1,0,77.32,4,224000,0.391,0.405,-10.517,0.0424,0.739,0.000893,0.15,0.342,https://api.spotify.com/v1/audio-analysis/1bdLWU4nWQDxfKdmdBAxUl,https://p.scdn.co/mp3-preview/b45378f43e61ff34ac9515672b05521c5faea812?cid=d15799fa66d145678638eaacc0278873
4kpj1CPGBy2D8zK7ONHlaL,Up the Spirit Caverns Walls (feat. Tom Boyd),Gareth Coker_Tom Boyd,9,1,90.137,4,336001,0.315,0.286,-19.085,0.0445,0.627,0.882,0.21,0.143,https://api.spotify.com/v1/audio-analysis/4kpj1CPGBy2D8zK7ONHlaL,https://p.scdn.co/mp3-preview/e6d57c99bc77c0f6984a73833ba75636a1a5907f?cid=d15799fa66d145678638eaacc0278873
4TWzk0mTsVcwZRGkpoxjvG,Birds Fly By Flapping their Wings,Biosphere,10,0,107.687,3,395440,0.231,0.319,-19.26,0.0548,0.961,0.958,0.109,0.0404,https://api.spotify.com/v1/audio-analysis/4TWzk0mTsVcwZRGkpoxjvG,https://p.scdn.co/mp3-preview/2a1812fa7d954bdf530a5a0ef23f24c670cff8cc?cid=d15799fa66d145678638eaacc0278873
348Xv53NFhkWUQ29GXrEWm,Laura Palmer's Theme,Xiu Xiu,1,1,69.014,4,303701,0.549,0.271,-10.405,0.0281,0.404,0.916,0.194,0.0349,https://api.spotify.com/v1/audio-analysis/348Xv53NFhkWUQ29GXrEWm,
0NYpEhsiVaA2OaUCmt0ItW,Imago,Oneohtrix Point Never,10,0,122.719,4,228192,0.31,0.43,-13.607,0.0869,0.846,0.0182,0.262,0.185,https://api.spotify.com/v1/audio-analysis/0NYpEhsiVaA2OaUCmt0ItW,
